EqpList,FmsList,DataType,DefaultValue
Recipe_Item1,Cell_Size_Width_SV,UInt32,6700000
Recipe_Item2,Cell_Size_Height_SV,UInt32,1400000
Recipe_Item3,Cell_Size_Thick_SV,UInt32,160000
Recipe_Item4,Cell_Size_Weight_SV,UInt32,150000
Recipe_Item5,Weight_defect_determination_tolerance_SV,UInt32,50
Recipe_Item6,Tray_Slot_Pitch_SV,UInt32,265000
Recipe_Item7,Tray_Slot_Count_SV,UInt16,30
Recipe_Item8,Secondary_degassing_process_SV,UInt16,0
Recipe_Item9,Degassing_Input_Left_Rolling_Pressure_SV,UInt16,250
Recipe_Item10,Degassing_Input_Right_Rolling_Pressure_SV,UInt16,250
Recipe_Item11,Degassing_Input_Rolling_Counter_SV,UInt16,1
Recipe_Item12,Degassing_Out_Left_Rolling_Pressure_SV,UInt16,250
Recipe_Item13,Degassing_Out_Right_Rolling_Pressure_SV,UInt16,250
Recipe_Item14,Degassing_Out_Rolling_Counter_SV,UInt16,1
Recipe_Item15,Degassing_Process_Vacuum_Pressure_Tolerance_SV,UInt16,0
Recipe_Item16,Degassing_Process_Pusher_Pressure_Tolerance_SV,UInt16,0
Recipe_Item17,Degassing_Process_Sealing_Temperature_Tolerance_SV,UInt16,0
Recipe_Item18,Degassing_Process_Sealing_Pressure_Tolerance_SV,UInt16,0
Recipe_Item19,Degassing_Process_Sealing_Time_SV,UInt16,60
Recipe_Item20,Degassing_Process_Sealing_Temperature_SV,UInt16,165
Recipe_Item21,Degassing_Process_Timeout_SV,UInt16,99
Recipe_Item22,Degassing_Process_Sealing_Start_Delay_Time_SV,UInt16,0
Recipe_Item23,Degassing_Process_Vent_Removal_Time_SV,UInt16,5
Recipe_Item24,Chamber1_Step01_Vacuum_Pressure_SV,UInt16,4500
Recipe_Item25,Chamber1_Step01_Vacuum_Pressure_Holding_Time_SV,UInt16,5
Recipe_Item26,Chamber1_Step01_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item27,Chamber1_Step01_Pusher_Count_SV,UInt16,0
Recipe_Item28,Chamber1_Step01_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item29,Chamber1_Step01_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item30,Chamber1_Step01_Pusher_End_Position_SV,UInt16,0
Recipe_Item31,Chamber1_Step02_Vacuum_Pressure_SV,UInt16,2500
Recipe_Item32,Chamber1_Step02_Vacuum_Pressure_Holding_Time_SV,UInt16,5
Recipe_Item33,Chamber1_Step02_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item34,Chamber1_Step02_Pusher_Count_SV,UInt16,0
Recipe_Item35,Chamber1_Step02_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item36,Chamber1_Step02_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item37,Chamber1_Step02_Pusher_End_Position_SV,UInt16,0
Recipe_Item38,Chamber1_Step03_Vacuum_Pressure_SV,UInt16,500
Recipe_Item39,Chamber1_Step03_Vacuum_Pressure_Holding_Time_SV,UInt16,30
Recipe_Item40,Chamber1_Step03_Pusher_Start_Delay_Time_SV,UInt16,3
Recipe_Item41,Chamber1_Step03_Pusher_Count_SV,UInt16,1
Recipe_Item42,Chamber1_Step03_Pusher_Forward_Holding_Time_SV,UInt16,5
Recipe_Item43,Chamber1_Step03_Pusher_Backward_Holding_Time_SV,UInt16,5
Recipe_Item44,Chamber1_Step03_Pusher_End_Position_SV,UInt16,0
Recipe_Item45,Chamber1_Step04_Vacuum_Pressure_SV,UInt16,200
Recipe_Item46,Chamber1_Step04_Vacuum_Pressure_Holding_Time_SV,UInt16,50
Recipe_Item47,Chamber1_Step04_Pusher_Start_Delay_Time_SV,UInt16,3
Recipe_Item48,Chamber1_Step04_Pusher_Count_SV,UInt16,3
Recipe_Item49,Chamber1_Step04_Pusher_Forward_Holding_Time_SV,UInt16,5
Recipe_Item50,Chamber1_Step04_Pusher_Backward_Holding_Time_SV,UInt16,5
Recipe_Item51,Chamber1_Step04_Pusher_End_Position_SV,UInt16,0
Recipe_Item52,Chamber1_Step05_Vacuum_Pressure_SV,UInt16,0
Recipe_Item53,Chamber1_Step05_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item54,Chamber1_Step05_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item55,Chamber1_Step05_Pusher_Count_SV,UInt16,0
Recipe_Item56,Chamber1_Step05_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item57,Chamber1_Step05_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item58,Chamber1_Step05_Pusher_End_Position_SV,UInt16,0
Recipe_Item59,Chamber1_Step06_Vacuum_Pressure_SV,UInt16,0
Recipe_Item60,Chamber1_Step06_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item61,Chamber1_Step06_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item62,Chamber1_Step06_Pusher_Count_SV,UInt16,0
Recipe_Item63,Chamber1_Step06_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item64,Chamber1_Step06_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item65,Chamber1_Step06_Pusher_End_Position_SV,UInt16,0
Recipe_Item66,Chamber1_Step07_Vacuum_Pressure_SV,UInt16,0
Recipe_Item67,Chamber1_Step07_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item68,Chamber1_Step07_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item69,Chamber1_Step07_Pusher_Count_SV,UInt16,0
Recipe_Item70,Chamber1_Step07_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item71,Chamber1_Step07_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item72,Chamber1_Step07_Pusher_End_Position_SV,UInt16,0
Recipe_Item73,Chamber1_Step08_Vacuum_Pressure_SV,UInt16,0
Recipe_Item74,Chamber1_Step08_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item75,Chamber1_Step08_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item76,Chamber1_Step08_Pusher_Count_SV,UInt16,0
Recipe_Item77,Chamber1_Step08_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item78,Chamber1_Step08_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item79,Chamber1_Step08_Pusher_End_Position_SV,UInt16,0
Recipe_Item80,Chamber1_Step09_Vacuum_Pressure_SV,UInt16,0
Recipe_Item81,Chamber1_Step09_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item82,Chamber1_Step09_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item83,Chamber1_Step09_Pusher_Count_SV,UInt16,0
Recipe_Item84,Chamber1_Step09_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item85,Chamber1_Step09_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item86,Chamber1_Step09_Pusher_End_Position_SV,UInt16,0
Recipe_Item87,Chamber1_Step10_Vacuum_Pressure_SV,UInt16,0
Recipe_Item88,Chamber1_Step10_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item89,Chamber1_Step10_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item90,Chamber1_Step10_Pusher_Count_SV,UInt16,0
Recipe_Item91,Chamber1_Step10_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item92,Chamber1_Step10_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item93,Chamber1_Step10_Pusher_End_Position_SV,UInt16,0
Recipe_Item94,Chamber2_Step01_Vacuum_Pressure_SV,UInt16,4500
Recipe_Item95,Chamber2_Step01_Vacuum_Pressure_Holding_Time_SV,UInt16,5
Recipe_Item96,Chamber2_Step01_Pusher_Start_Delay_Time_SV,UInt16,0
