EqpList,FmsList,DataType
Voltage,Voltage,Float
Frequency0,Frequency0,Float
Frequency1,Frequency1,Float
Frequency2,Frequency2,Float
Frequency3,Frequency3,Float
Frequency4,Frequency4,Float
Frequency5,Frequency5,Float
Frequency6,Frequency6,Float
Frequency7,Frequency7,Float
Frequency8,Frequency8,Float
Frequency9,Frequency9,Float
Frequency10,Frequency10,Float
Frequency11,Frequency11,Float
Frequency12,Frequency12,Float
Frequency13,Frequency13,Float
Frequency14,Frequency14,Float
Frequency15,Frequency15,Float
Frequency16,Frequency16,Float
Frequency17,Frequency17,Float
Frequency18,Frequency18,Float
Frequency19,Frequency19,Float
Frequency20,Frequency20,Float
Frequency21,Frequency21,Float
Frequency22,Frequency22,Float
Frequency23,Frequency23,Float
Frequency24,Frequency24,Float
Frequency25,Frequency25,Float
Frequency26,Frequency26,Float
Frequency27,Frequency27,Float
Frequency28,Frequency28,Float
Frequency29,Frequency29,Float
Frequency30,Frequency30,Float
Frequency31,Frequency31,Float
Frequency32,Frequency32,Float
Frequency33,Frequency33,Float
Frequency34,Frequency34,Float
Frequency35,Frequency35,Float
Frequency36,Frequency36,Float
Frequency37,Frequency37,Float
Frequency38,Frequency38,Float
Frequency39,Frequency39,Float
Frequency40,Frequency40,Float
Frequency41,Frequency41,Float
Frequency42,Frequency42,Float
Frequency43,Frequency43,Float
Frequency44,Frequency44,Float
Frequency45,Frequency45,Float
Frequency46,Frequency46,Float
Frequency47,Frequency47,Float
Frequency48,Frequency48,Float
Frequency49,Frequency49,Float
Frequency50,Frequency50,Float
Impedance0,Impedance0,Float
Impedance1,Impedance1,Float
Impedance2,Impedance2,Float
Impedance3,Impedance3,Float
Impedance4,Impedance4,Float
Impedance5,Impedance5,Float
Impedance6,Impedance6,Float
Impedance7,Impedance7,Float
Impedance8,Impedance8,Float
Impedance9,Impedance9,Float
Impedance10,Impedance10,Float
Impedance11,Impedance11,Float
Impedance12,Impedance12,Float
Impedance13,Impedance13,Float
Impedance14,Impedance14,Float
Impedance15,Impedance15,Float
Impedance16,Impedance16,Float
Impedance17,Impedance17,Float
Impedance18,Impedance18,Float
Impedance19,Impedance19,Float
Impedance20,Impedance20,Float
Impedance21,Impedance21,Float
Impedance22,Impedance22,Float
Impedance23,Impedance23,Float
Impedance24,Impedance24,Float
Impedance25,Impedance25,Float
Impedance26,Impedance26,Float
Impedance27,Impedance27,Float
Impedance28,Impedance28,Float
Impedance29,Impedance29,Float
Impedance30,Impedance30,Float
Impedance31,Impedance31,Float
Impedance32,Impedance32,Float
Impedance33,Impedance33,Float
Impedance34,Impedance34,Float
Impedance35,Impedance35,Float
Impedance36,Impedance36,Float
Impedance37,Impedance37,Float
Impedance38,Impedance38,Float
Impedance39,Impedance39,Float
Impedance40,Impedance40,Float
Impedance41,Impedance41,Float
Impedance42,Impedance42,Float
Impedance43,Impedance43,Float
Impedance44,Impedance44,Float
Impedance45,Impedance45,Float
Impedance46,Impedance46,Float
Impedance47,Impedance47,Float
Impedance48,Impedance48,Float
Impedance49,Impedance49,Float
Impedance50,Impedance50,Float
PhaseAngle0,PhaseAngle0,Float
PhaseAngle1,PhaseAngle1,Float
PhaseAngle2,PhaseAngle2,Float
PhaseAngle3,PhaseAngle3,Float
PhaseAngle4,PhaseAngle4,Float
PhaseAngle5,PhaseAngle5,Float
PhaseAngle6,PhaseAngle6,Float
PhaseAngle7,PhaseAngle7,Float
PhaseAngle8,PhaseAngle8,Float
PhaseAngle9,PhaseAngle9,Float
PhaseAngle10,PhaseAngle10,Float
PhaseAngle11,PhaseAngle11,Float
PhaseAngle12,PhaseAngle12,Float
PhaseAngle13,PhaseAngle13,Float
PhaseAngle14,PhaseAngle14,Float
PhaseAngle15,PhaseAngle15,Float
PhaseAngle16,PhaseAngle16,Float
PhaseAngle17,PhaseAngle17,Float
PhaseAngle18,PhaseAngle18,Float
PhaseAngle19,PhaseAngle19,Float
PhaseAngle20,PhaseAngle20,Float
PhaseAngle21,PhaseAngle21,Float
PhaseAngle22,PhaseAngle22,Float
PhaseAngle23,PhaseAngle23,Float
PhaseAngle24,PhaseAngle24,Float
PhaseAngle25,PhaseAngle25,Float
PhaseAngle26,PhaseAngle26,Float
PhaseAngle27,PhaseAngle27,Float
PhaseAngle28,PhaseAngle28,Float
PhaseAngle29,PhaseAngle29,Float
PhaseAngle30,PhaseAngle30,Float
PhaseAngle31,PhaseAngle31,Float
PhaseAngle32,PhaseAngle32,Float
PhaseAngle33,PhaseAngle33,Float
PhaseAngle34,PhaseAngle34,Float
PhaseAngle35,PhaseAngle35,Float
PhaseAngle36,PhaseAngle36,Float
PhaseAngle37,PhaseAngle37,Float
PhaseAngle38,PhaseAngle38,Float
PhaseAngle39,PhaseAngle39,Float
PhaseAngle40,PhaseAngle40,Float
PhaseAngle41,PhaseAngle41,Float
PhaseAngle42,PhaseAngle42,Float
PhaseAngle43,PhaseAngle43,Float
PhaseAngle44,PhaseAngle44,Float
PhaseAngle45,PhaseAngle45,Float
PhaseAngle46,PhaseAngle46,Float
PhaseAngle47,PhaseAngle47,Float
PhaseAngle48,PhaseAngle48,Float
PhaseAngle49,PhaseAngle49,Float
PhaseAngle50,PhaseAngle50,Float
