EqpList,FmsList,DataType,DefaultValue
Recipe_Item1,Cell_Size_Width,UInt32,6700000
Recipe_Item2,Cell_Size_Height,UInt32,1400000
Recipe_Item3,Cell_Size_Thick,UInt32,160000
Recipe_Item4,Cell_Size_Weight,UInt32,150000
Recipe_Item5,Tray_Slot_Pitch,UInt32,50
Recipe_Item6,Tray_Slot_Count,UInt32,265000
Recipe_Item7,Tape_Attach_Count,UInt32,30
Recipe_Item8,Tape_Attach_Pitch_Point_2,UInt32,0
Recipe_Item9,Tape_Attach_Pitch_Point_3,UInt32,0
Recipe_Item10,Tape_Attach_Pitch_Point_4,UInt32,0
Recipe_Item11,Tape_Attach_Pitch_Point_5,UInt32,0
Recipe_Item12,Tape_Attach_Pitch_Point_6,UInt32,0
Recipe_Item13,Tape_Attach_Pitch_Point_7,UInt32,0
