EqpList,FmsList,DataType
PD_1,Chamber_Location,UInt16
PD_2,Degasing_Input_Rolling_Location_PD,UInt16
PD_3,Degasing_Input_Rolling_Pressure_PD,UInt16
PD_4,Degassing_Input_Rolling_Count_PD,UInt16
PD_5,Degasing_Output_Rolling_Location_PD,UInt16
PD_6,Degasing_Output_Rolling_Pressure_PD,UInt16
PD_7,Degassing_Output_Rolling_Count_PD,UInt16
PD_8,Chamber1_Degassing_Process_Vacuum_Pressure_PD,UInt16
PD_9,Chamber1_Degassing_Process_Time_PD,UInt16
PD_10,Chamber1_Degassing_Process_Sealing_Time_PD,UInt16
PD_11,Chamber1_Degassing_Process_Sealing_LL_Temperature_PD,UInt16
PD_12,Chamber1_Degassing_Process_Sealing_L_Temperature_PD,UInt16
PD_13,Chamber1_Degassing_Process_Left_Pusher_Pressure_PD,UInt16
PD_14,Chamber1_Degassing_Process_Left_Main_Sealing_Pressure_PD,UInt16
PD_15,Chamber1_Degassing_Process_Left_Sub_F_Sealing_Pressure_PD,UInt16
PD_16,Chamber1_Degassing_Process_Left_Sub_R_Sealing_Pressure_PD,UInt16
PD_17,Chamber1_Degassing_Process_Sealing_R_Temperature_PD,UInt16
PD_18,Chamber1_Degassing_Process_Sealing_RR_Temperature_PD,UInt16
PD_19,Chamber1_Degassing_Process_Right_Pusher_Pressure_PD,UInt16
PD_20,Chamber1_Degassing_Process_Right_Main_Sealing_Pressure_PD,UInt16
PD_21,Chamber1_Degassing_Process_Right_Sub_F_Sealing_Pressure_PD,UInt16
PD_22,Chamber1_Degassing_Process_Right_Sub_R_Sealing_Pressure_PD,UInt16
PD_23,Chamber2_Degassing_Process_Vacuum_Pressure_PD,UInt16
PD_24,Chamber2_Degassing_Process_Time_PD,UInt16
PD_25,Chamber2_Degassing_Process_Sealing_Time_PD,UInt16
PD_26,Chamber2_Degassing_Process_Sealing_LL_Temperature_PD,UInt16
PD_27,Chamber2_Degassing_Process_Sealing_L_Temperature_PD,UInt16
PD_28,Chamber2_Degassing_Process_Left_Pusher_Pressure_PD,UInt16
PD_29,Chamber2_Degassing_Process_Left_Main_Sealing_Pressure_PD,UInt16
PD_30,Chamber2_Degassing_Process_Left_Sub_F_Sealing_Pressure_PD,UInt16
PD_31,Chamber2_Degassing_Process_Left_Sub_R_Sealing_Pressure_PD,UInt16
PD_32,Chamber2_Degassing_Process_Sealing_R_Temperature_PD,UInt16
PD_33,Chamber2_Degassing_Process_Sealing_RR_Temperature_PD,UInt16
PD_34,Chamber2_Degassing_Process_Right_Pusher_Pressure_PD,UInt16
PD_35,Chamber2_Degassing_Process_Right_Main_Sealing_Pressure_PD,UInt16
PD_36,Chamber2_Degassing_Process_Right_Sub_F_Sealing_Pressure_PD,UInt16
PD_37,Chamber2_Degassing_Process_Right_Sub_R_Sealing_Pressure_PD,UInt16
PD_38,Chamber1_Step01_Vacuum_Pressure_PD,UInt16
PD_39,Chamber1_Step01_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_40,Chamber1_Step01_Pusher_Start_Delay_Time_PD,UInt16
PD_41,Chamber1_Step01_Pusher_Count_PD,UInt16
PD_42,Chamber1_Step01_Pusher_Forward_Holding_Time_PD,UInt16
PD_43,Chamber1_Step01_Pusher_Backward_Holding_Time_PD,UInt16
PD_44,Chamber1_Step01_Pusher_End_Position_PD,UInt16
PD_45,Chamber1_Step02_Vacuum_Pressure_PD,UInt16
PD_46,Chamber1_Step02_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_47,Chamber1_Step02_Pusher_Start_Delay_Time_PD,UInt16
PD_48,Chamber1_Step02_Pusher_Count_PD,UInt16
PD_49,Chamber1_Step02_Pusher_Forward_Holding_Time_PD,UInt16
PD_50,Chamber1_Step02_Pusher_Backward_Holding_Time_PD,UInt16
PD_51,Chamber1_Step02_Pusher_End_Position_PD,UInt16
PD_52,Chamber1_Step03_Vacuum_Pressure_PD,UInt16
PD_53,Chamber1_Step03_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_54,Chamber1_Step03_Pusher_Start_Delay_Time_PD,UInt16
PD_55,Chamber1_Step03_Pusher_Count_PD,UInt16
PD_56,Chamber1_Step03_Pusher_Forward_Holding_Time_PD,UInt16
PD_57,Chamber1_Step03_Pusher_Backward_Holding_Time_PD,UInt16
PD_58,Chamber1_Step03_Pusher_End_Position_PD,UInt16
PD_59,Chamber1_Step04_Vacuum_Pressure_PD,UInt16
PD_60,Chamber1_Step04_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_61,Chamber1_Step04_Pusher_Start_Delay_Time_PD,UInt16
PD_62,Chamber1_Step04_Pusher_Count_PD,UInt16
PD_63,Chamber1_Step04_Pusher_Forward_Holding_Time_PD,UInt16
PD_64,Chamber1_Step04_Pusher_Backward_Holding_Time_PD,UInt16
PD_65,Chamber1_Step04_Pusher_End_Position_PD,UInt16
PD_66,Chamber1_Step05_Vacuum_Pressure_PD,UInt16
PD_67,Chamber1_Step05_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_68,Chamber1_Step05_Pusher_Start_Delay_Time_PD,UInt16
PD_69,Chamber1_Step05_Pusher_Count_PD,UInt16
PD_70,Chamber1_Step05_Pusher_Forward_Holding_Time_PD,UInt16
PD_71,Chamber1_Step05_Pusher_Backward_Holding_Time_PD,UInt16
PD_72,Chamber1_Step05_Pusher_End_Position_PD,UInt16
PD_73,Chamber1_Step06_Vacuum_Pressure_PD,UInt16
PD_74,Chamber1_Step06_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_75,Chamber1_Step06_Pusher_Start_Delay_Time_PD,UInt16
PD_76,Chamber1_Step06_Pusher_Count_PD,UInt16
PD_77,Chamber1_Step06_Pusher_Forward_Holding_Time_PD,UInt16
PD_78,Chamber1_Step06_Pusher_Backward_Holding_Time_PD,UInt16
PD_79,Chamber1_Step06_Pusher_End_Position_PD,UInt16
PD_80,Chamber1_Step07_Vacuum_Pressure_PD,UInt16
PD_81,Chamber1_Step07_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_82,Chamber1_Step07_Pusher_Start_Delay_Time_PD,UInt16
PD_83,Chamber1_Step07_Pusher_Count_PD,UInt16
PD_84,Chamber1_Step07_Pusher_Forward_Holding_Time_PD,UInt16
PD_85,Chamber1_Step07_Pusher_Backward_Holding_Time_PD,UInt16
PD_86,Chamber1_Step07_Pusher_End_Position_PD,UInt16
PD_87,Chamber1_Step08_Vacuum_Pressure_PD,UInt16
PD_88,Chamber1_Step08_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_89,Chamber1_Step08_Pusher_Start_Delay_Time_PD,UInt16
PD_90,Chamber1_Step08_Pusher_Count_PD,UInt16
PD_91,Chamber1_Step08_Pusher_Forward_Holding_Time_PD,UInt16
PD_92,Chamber1_Step08_Pusher_Backward_Holding_Time_PD,UInt16
PD_93,Chamber1_Step08_Pusher_End_Position_PD,UInt16
PD_94,Chamber1_Step09_Vacuum_Pressure_PD,UInt16
PD_95,Chamber1_Step09_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_96,Chamber1_Step09_Pusher_Start_Delay_Time_PD,UInt16
PD_97,Chamber1_Step09_Pusher_Count_PD,UInt16
PD_98,Chamber1_Step09_Pusher_Forward_Holding_Time_PD,UInt16
PD_99,Chamber1_Step09_Pusher_Backward_Holding_Time_PD,UInt16
PD_100,Chamber1_Step09_Pusher_End_Position_PD,UInt16
PD_101,Chamber1_Step10_Vacuum_Pressure_PD,UInt16
PD_102,Chamber1_Step10_Vacuum_Pressure_Holding_Time_PD,UInt16
PD_103,Chamber1_Step10_Pusher_Start_Delay_Time_PD,UInt16
PD_104,Chamber1_Step10_Pusher_Count_PD,UInt16
