EqpList,FmsList,DataType,DefaultValue
Limit.CurrentUpper,Limit.CurrentUpper_SV,Float,0
Limit.CurrentLower,Limit.CurrentLower_SV,Float,0
Limit.VoltageUpper,Limit.VoltageUpper_SV,Float,0
Limit.VoltageLower,Limit.VoltageLower_SV,Float,0
Limit.ProcessingTime,Limit.ProcessingTime_SV,UInt16,0
Charge.Current,Charge.Current_SV,Float,0
Charge.Voltage,Charge.Voltage_SV,Float,0
Charge.EndTime,Charge.EndTime_SV,UInt16,0
Charge.EndCurrent,Charge.EndCurrent_SV,Float,0
Charge.EndVoltage,Charge.EndVoltage_SV,Float,0
Charge.EndCapacity,Charge.EndCapacity_SV,Float,0
Charge.WaitTime,Charge.WaitTime_SV,UInt16,0
Charge.Pressure,Charge.Pressure_SV,Float,0
Charge.Temp,Charge.Temp_SV,Float,0
Discharge.Current,Discharge.Current_SV,Float,0
Discharge.EndTime,Discharge.EndTime_SV,UInt16,0
Discharge.EndVoltage,Discharge.EndVoltage_SV,Float,0
Discharge.EndCapacity,Discharge.EndCapacity_SV,Float,0
Discharge.WaitTime,Discharge.WaitTime_SV,UInt16,0
Discharge.Pressure,Discharge.Pressure_SV,Float,0
Discharge.Temp,Discharge.Temp_SV,Float,0
OCV.WaitTime,OCV.WaitTime_SV,UInt16,0
OCV.Pressure,OCV.Pressure_SV,Float,0
OCV.Temp,OCV.Temp_SV,Float,0
