EqpList,FmsList,DataType
THICK_CHECK_SEN_A,THICK_CHECK_SEN_A_PD,UInt32
THICK_CHECK_SEN_B,THICK_CHECK_SEN_B_PD,UInt32
THICK_CHECK_SEN_C,THICK_CHECK_SEN_C_PD,UInt32
THICK_CHECK_SEN_D,THICK_CHECK_SEN_D_PD,UInt32
THICK_CHECK_SEN_LEFT_Avg,THICK_CHECK_SEN_LEFT_Avg_PD,UInt32
THICK_CHECK_SEN_RIGHT_Avg,THICK_CHECK_SEN_RIGHT_Avg_PD,UInt32
THICK_CHECK_SEN_ALL_Avg,THICK_CHECK_SEN_ALL_Avg_PD,UInt32
PUSHER_PRESSURE_DATA,PUSHER_PRESSURE_DATA_PD,UInt32
PUSHER_PRESS_TIME,PUSHER_PRESS_TIME_PD,UInt16
PUSHER_CYL_PRESSURE_DATA,PUSHER_CYL_PRESSURE_DATA_PD,UInt16
SHORT_CHECK_DATA_IR_CHECK_DATA_1,SHORT_CHECK_DATA_IR_CHECK_DATA_1_PD,String
SHORT_CHECK_DATA_IR_CHECK_DATA_2,SHORT_CHECK_DATA_IR_CHECK_DATA_2_PD,String
SHORT_CHECK_DATA_IR_CHECK_DATA_3,SHORT_CHECK_DATA_IR_CHECK_DATA_3_PD,String
LASER_CHECK_VAC_TARGET_DATA,LASER_CHECK_VAC_TARGET_DATA_PD,UInt16
LASER_CHECK_VAC_TIME_DATA,LASER_CHECK_VAC_TIME_DATA_PD,UInt16
