EqpList,FmsList,DataType,DefaultValue
Cell_Size_Width,Cell_Size_Width_SV,UInt32,6700000
Cell_Size_Height,Cell_Size_Height_SV,UInt32,1400000
Cell_Size_Thick,Cell_Size_Thick_SV,UInt32,160000
Cell_Size_Weight,Cell_Size_Weight_SV,UInt32,150000
Tray_Slot_Pitch,Tray_Slot_Pitch_SV,UInt32,50
Tray_Slot_Count,Tray_Slot_Count_SV,UInt32,265000
Thickness_Pre_Pressure_Time,Thickness_Pre_Pressure_Time_SV,UInt32,600000
Thickness_Pre_Pressure_Value,Thickness_Pre_Pressure_Value_SV,UInt32,25000
End_Press_Pressure_Time,End_Press_Pressure_Time_SV,UInt32,200000
End_Press_Pressure_Value,End_Press_Pressure_Value_SV,UInt32,25000
Short_Check_Relay_ON_Time,Short_Check_Relay_ON_Time_SV,UInt32,10000
Laser_Check_Chamber_Target_Vacuum_Value,Laser_Check_Chamber_Target_Vacuum_Value_SV,UInt32,40000
Laser_Check_Chamber_Vacuum_Retention_Time,Laser_Check_Chamber_Vacuum_Retention_Time_SV,UInt32,170000
Laser_Check_Chamber_Auto_Valve_Target_Value,Laser_Check_Chamber_Auto_Valve_Target_Value_SV,UInt32,0
Laser_Check_Chamber_Vacuum_Pump_Frequency,Laser_Check_Chamber_Vacuum_Pump_Frequency_SV,UInt32,0
