EqpList,FmsList,DataType,DefaultValue
Limit.CurrentUpper,Limit.CurrentUpper_SV,float,250
Limit.VoltageUpper,Limit.VoltageUpper_SV,float,15
Limit.VoltageLower,Limit.VoltageLower_SV,float,1
Limit.BadClippingLimitCount,Limit.BadClippingLimitCount_SV,Uint16,1
SDM.Pressure,SDM.Pressure_SV,float,250
SDM.Temp,SDM.Temp_SV,float,15
SDM.ProcessTime,SDM.ProcessTime_SV,Uint16,1
SDM.WaitTime,SDM.WaitTime_SV,UInt16,0
SDM.InitialCurrent,SDM.InitialCurrent_SV,Float,0
SDM.OutputResistance,SDM.OutputResistance_SV,Float,0
SDM.CalibrationResult,SDM.CalibrationResult_SV,float,0
OCV.WaitTime,OCV.WaitTime_SV,UInt16,0
OCV.Pressure,OCV.Pressure_SV,float,0
OCV.Temp,OCV.Temp_SV,float,0
