EqpList,FmsList,DataType,CommonFlag
StartFrequency,StartFrequency_PD,Float,C
EndFrequency,EndFrequency_PD,Float,C
NumberOfPoints,NumberOfPoints_PD,UInt16,C
StartTemp,StartTemp_PD,Float,C
EndTemp,EndTemp_PD,Float,C
AvgTemp,AvgTemp_PD,Float,C
Voltage,Voltage_PD,Float,
Frequency0,Frequency0_PD,Float,
Frequency1,Frequency1_PD,Float,
Frequency2,Frequency2_PD,Float,
Frequency3,Frequency3_PD,Float,
Frequency4,Frequency4_PD,Float,
Frequency5,Frequency5_PD,Float,
Frequency6,Frequency6_PD,Float,
Frequency7,Frequency7_PD,Float,
Frequency8,Frequency8_PD,Float,
Frequency9,Frequency9_PD,Float,
Frequency10,Frequency10_PD,Float,
Frequency11,Frequency11_PD,Float,
Frequency12,Frequency12_PD,Float,
Frequency13,Frequency13_PD,Float,
Frequency14,Frequency14_PD,Float,
Frequency15,Frequency15_PD,Float,
Frequency16,Frequency16_PD,Float,
Frequency17,Frequency17_PD,Float,
Frequency18,Frequency18_PD,Float,
Frequency19,Frequency19_PD,Float,
Frequency20,Frequency20_PD,Float,
Frequency21,Frequency21_PD,Float,
Frequency22,Frequency22_PD,Float,
Frequency23,Frequency23_PD,Float,
Frequency24,Frequency24_PD,Float,
Frequency25,Frequency25_PD,Float,
Frequency26,Frequency26_PD,Float,
Frequency27,Frequency27_PD,Float,
Frequency28,Frequency28_PD,Float,
Frequency29,Frequency29_PD,Float,
Frequency30,Frequency30_PD,Float,
Frequency31,Frequency31_PD,Float,
Frequency32,Frequency32_PD,Float,
Frequency33,Frequency33_PD,Float,
Frequency34,Frequency34_PD,Float,
Frequency35,Frequency35_PD,Float,
Frequency36,Frequency36_PD,Float,
Frequency37,Frequency37_PD,Float,
Frequency38,Frequency38_PD,Float,
Frequency39,Frequency39_PD,Float,
Frequency40,Frequency40_PD,Float,
Frequency41,Frequency41_PD,Float,
Frequency42,Frequency42_PD,Float,
Frequency43,Frequency43_PD,Float,
Frequency44,Frequency44_PD,Float,
Frequency45,Frequency45_PD,Float,
Frequency46,Frequency46_PD,Float,
Frequency47,Frequency47_PD,Float,
Frequency48,Frequency48_PD,Float,
Frequency49,Frequency49_PD,Float,
Frequency50,Frequency50_PD,Float,
Impedance0,Impedance0_PD,Float,
Impedance1,Impedance1_PD,Float,
Impedance2,Impedance2_PD,Float,
Impedance3,Impedance3_PD,Float,
Impedance4,Impedance4_PD,Float,
Impedance5,Impedance5_PD,Float,
Impedance6,Impedance6_PD,Float,
Impedance7,Impedance7_PD,Float,
Impedance8,Impedance8_PD,Float,
Impedance9,Impedance9_PD,Float,
Impedance10,Impedance10_PD,Float,
Impedance11,Impedance11_PD,Float,
Impedance12,Impedance12_PD,Float,
Impedance13,Impedance13_PD,Float,
Impedance14,Impedance14_PD,Float,
Impedance15,Impedance15_PD,Float,
Impedance16,Impedance16_PD,Float,
Impedance17,Impedance17_PD,Float,
Impedance18,Impedance18_PD,Float,
Impedance19,Impedance19_PD,Float,
Impedance20,Impedance20_PD,Float,
Impedance21,Impedance21_PD,Float,
Impedance22,Impedance22_PD,Float,
Impedance23,Impedance23_PD,Float,
Impedance24,Impedance24_PD,Float,
Impedance25,Impedance25_PD,Float,
Impedance26,Impedance26_PD,Float,
Impedance27,Impedance27_PD,Float,
Impedance28,Impedance28_PD,Float,
Impedance29,Impedance29_PD,Float,
Impedance30,Impedance30_PD,Float,
Impedance31,Impedance31_PD,Float,
Impedance32,Impedance32_PD,Float,
Impedance33,Impedance33_PD,Float,
Impedance34,Impedance34_PD,Float,
Impedance35,Impedance35_PD,Float,
Impedance36,Impedance36_PD,Float,
Impedance37,Impedance37_PD,Float,
Impedance38,Impedance38_PD,Float,
Impedance39,Impedance39_PD,Float,
Impedance40,Impedance40_PD,Float,
Impedance41,Impedance41_PD,Float,
Impedance42,Impedance42_PD,Float,
Impedance43,Impedance43_PD,Float,
Impedance44,Impedance44_PD,Float,
Impedance45,Impedance45_PD,Float,
Impedance46,Impedance46_PD,Float,
Impedance47,Impedance47_PD,Float,
Impedance48,Impedance48_PD,Float,
Impedance49,Impedance49_PD,Float,
Impedance50,Impedance50_PD,Float,
PhaseAngle0,PhaseAngle0_PD,Float,
PhaseAngle1,PhaseAngle1_PD,Float,
PhaseAngle2,PhaseAngle2_PD,Float,
PhaseAngle3,PhaseAngle3_PD,Float,
PhaseAngle4,PhaseAngle4_PD,Float,
PhaseAngle5,PhaseAngle5_PD,Float,
PhaseAngle6,PhaseAngle6_PD,Float,
PhaseAngle7,PhaseAngle7_PD,Float,
PhaseAngle8,PhaseAngle8_PD,Float,
PhaseAngle9,PhaseAngle9_PD,Float,
PhaseAngle10,PhaseAngle10_PD,Float,
PhaseAngle11,PhaseAngle11_PD,Float,
PhaseAngle12,PhaseAngle12_PD,Float,
PhaseAngle13,PhaseAngle13_PD,Float,
PhaseAngle14,PhaseAngle14_PD,Float,
PhaseAngle15,PhaseAngle15_PD,Float,
PhaseAngle16,PhaseAngle16_PD,Float,
PhaseAngle17,PhaseAngle17_PD,Float,
PhaseAngle18,PhaseAngle18_PD,Float,
PhaseAngle19,PhaseAngle19_PD,Float,
PhaseAngle20,PhaseAngle20_PD,Float,
PhaseAngle21,PhaseAngle21_PD,Float,
PhaseAngle22,PhaseAngle22_PD,Float,
PhaseAngle23,PhaseAngle23_PD,Float,
PhaseAngle24,PhaseAngle24_PD,Float,
PhaseAngle25,PhaseAngle25_PD,Float,
PhaseAngle26,PhaseAngle26_PD,Float,
PhaseAngle27,PhaseAngle27_PD,Float,
PhaseAngle28,PhaseAngle28_PD,Float,
PhaseAngle29,PhaseAngle29_PD,Float,
PhaseAngle30,PhaseAngle30_PD,Float,
PhaseAngle31,PhaseAngle31_PD,Float,
PhaseAngle32,PhaseAngle32_PD,Float,
PhaseAngle33,PhaseAngle33_PD,Float,
PhaseAngle34,PhaseAngle34_PD,Float,
PhaseAngle35,PhaseAngle35_PD,Float,
PhaseAngle36,PhaseAngle36_PD,Float,
PhaseAngle37,PhaseAngle37_PD,Float,
PhaseAngle38,PhaseAngle38_PD,Float,
PhaseAngle39,PhaseAngle39_PD,Float,
PhaseAngle40,PhaseAngle40_PD,Float,
PhaseAngle41,PhaseAngle41_PD,Float,
PhaseAngle42,PhaseAngle42_PD,Float,
