EqpList,FmsList,DataType,CommonFlag
PD_1,LeadLength1_PD,UInt32,
PD_2,LeadLength2_PD,UInt32,
PD_3,CornerTrimmingHeight_DGS_PD,UInt32,
PD_4,CornerTrimmingWidth_DGS_PD,UInt32,
PD_5,CornerTrimmingHeight_PKG_PD,UInt32,
PD_6,CornerTrimmingWidth_PKG_PD,UInt32,
PD_7,LeadToTerrace_Length_DGS_PD,UInt32,
PD_8,LeadFilmProtrutionWidth_DGS_PD,UInt32,
PD_9,LeadFilmProtrutionWidth_PKG_PD,UInt32,
PD_10,BatearWidth_PD,UInt32,
PD_11,LeadWidth_PD,UInt32,
PD_20,CellWidthTop_PD,UInt32,
PD_30,Tape1_Width_PD,UInt32,
PD_31,Tape2_Width_PD,UInt32,
PD_32,Tape3_Width_PD,UInt32,
PD_33,Tape4_Width_PD,UInt32,
PD_34,Tape5_Width_PD,UInt32,
PD_35,Tape6_Width_PD,UInt32,
PD_36,Tape7_Width_PD,UInt32,
PD_37,Tape1_Pos_PD,UInt32,
PD_38,Tape2_Pos_PD,UInt32,
PD_39,Tape3_Pos_PD,UInt32,
PD_40,Tape4_Pos_PD,UInt32,
PD_41,Tape5_Pos_PD,UInt32,
PD_42,Tape6_Pos_PD,UInt32,
PD_43,Tape7_Pos_PD,UInt32,
PD_44,Tape1_BotPos_PD,UInt32,
PD_45,Tape2_BotPos_PD,UInt32,
PD_46,Tape3_BotPos_PD,UInt32,
PD_47,Tape4_BotPos_PD,UInt32,
PD_48,Tape5_BotPos_PD,UInt32,
PD_49,Tape6_BotPos_PD,UInt32,
PD_50,Tape7_BotPos_PD,UInt32,
PD_51,TabtoTab_PD,UInt32,
PD_52,Tape1_Length_PD,UInt32,
PD_53,Tape2_Length_PD,UInt32,
PD_54,Tape3_Length_PD,UInt32,
PD_55,Tape4_Length_PD,UInt32,
PD_56,Tape5_Length_PD,UInt32,
PD_57,Tape6_Length_PD,UInt32,
PD_58,Tape7_Length_PD,UInt32,
