EqpList,FmsList,DataType,DefaultValue
Recipe_Item1,Cell_Size_Width_SV,UInt32,6700000
Recipe_Item2,Cell_Size_Height_SV,UInt32,1400000
Recipe_Item3,Cell_Size_Thick_SV,UInt32,160000
Recipe_Item4,Cell_Size_Weight_SV,UInt32,150000
Recipe_Item5,Tray_Slot_Pitch_SV,UInt32,50
Recipe_Item6,Tray_Slot_Count_SV,UInt32,265000
Recipe_Item7,Tape_Attach_Count_SV,UInt32,30
Recipe_Item8,Tape_Attach_Pitch_Point_2_SV,UInt32,0
Recipe_Item9,Tape_Attach_Pitch_Point_3_SV,UInt32,0
Recipe_Item10,Tape_Attach_Pitch_Point_4_SV,UInt32,0
Recipe_Item11,Tape_Attach_Pitch_Point_5_SV,UInt32,0
Recipe_Item12,Tape_Attach_Pitch_Point_6_SV,UInt32,0
Recipe_Item13,Tape_Attach_Pitch_Point_7_SV,UInt32,0
